중심 문양,연관 문양,빈도수
소나무,새,3
소나무,사슴,7
소나무,폭포,21
소나무,동자,3
소나무,버드나무,10
소나무,괴석,6
소나무,구름,3
소나무,벼,1
소나무,개,3
소나무,고양이,2
소나무,난초,4
소나무,농사,2
소나무,학,10
소나무,대나무,6
소나무,신선,7
소나무,말,6
소나무,배,11
소나무,악기,3
소나무,서예,3
소나무,당나귀,7
소나무,소,6
소나무,제비,1
소나무,닭,2
소나무,노동,2
소나무,기우,3
소나무,독서,2
소나무,모란,3
소나무,물결,3
소나무,나무,2
소나무,해,1
소나무,호랑이,1
소나무,기마,2
소나무,까치,3
소나무,석류,2
소나무,다람쥐,1
소나무,포도,2
소나무,달,5
소나무,매화,2
소나무,참새,2
소나무,불로초,2
소나무,게,1
소나무,복숭아나무,1
소나무,거위,1
소나무,오리,2
소나무,갈대,2
소나무,매,2
소나무,국화,4
소나무,연꽃,3
소나무,단풍나무,1
소나무,겨울,1
소나무,봄,1
소나무,낚시,2
소나무,기려,4
소나무,귀신,1
소나무,토끼,1
소나무,꿩,1
소나무,원숭이,2
소나무,승려,2
소나무,바위,2
소나무,밤,1
소나무,무,1
소나무,파초,2
소나무,수국,1
소나무,꽃,2
소나무,놀이,1
괴석,꽃,5
괴석,새,5
괴석,학,7
괴석,달,7
괴석,버드나무,3
괴석,소나무,6
괴석,구름,3
괴석,벼,1
괴석,개,7
괴석,고양이,3
괴석,난초,6
괴석,농사,2
괴석,사슴,4
괴석,대나무,6
괴석,악기,1
괴석,서예,3
괴석,잠자리,1
괴석,연꽃,5
괴석,곤충,1
괴석,말,5
괴석,호랑이,1
괴석,소,2
괴석,기마,2
괴석,독서,1
괴석,참새,2
괴석,오리,3
괴석,갈대,2
괴석,매,3
괴석,국화,7
괴석,단풍나무,1
괴석,신선,3
괴석,게,2
괴석,물결,2
괴석,배,1
괴석,나비,1
괴석,메뚜기,1
괴석,무,2
괴석,채소,1
괴석,인삼,1
괴석,연과,1
괴석,가지,1
괴석,조개,1
괴석,과일,1
괴석,폭포,1
괴석,토끼,2
괴석,모란,3
괴석,매화,4
괴석,불로초,1
괴석,해,1
괴석,원숭이,1
괴석,복숭아,1
괴석,제비,1
괴석,백로,1
괴석,닭,1
괴석,파초,1
괴석,수국,1
괴석,포도,1
괴석,석류,1
괴석,까치,1
괴석,놀이,1
괴석,매미,1
괴석,바위,1
괴석,여름,1
폭포,사슴,1
폭포,소나무,21
폭포,동자,2
폭포,매화,3
폭포,새,2
폭포,학,3
폭포,대나무,1
폭포,신선,2
폭포,말,1
폭포,배,8
폭포,악기,2
폭포,닭,1
폭포,나무,1
폭포,국화,1
폭포,꽃,1
폭포,달,1
폭포,소,1
폭포,기우,1
폭포,봄,1
폭포,해,1
폭포,버드나무,5
폭포,당나귀,4
폭포,기려,4
폭포,낚시,2
폭포,물결,1
폭포,귀신,1
폭포,토끼,2
폭포,매,2
폭포,꿩,1
폭포,까치,1
폭포,괴석,1
폭포,바위,1
매화,새,6
매화,폭포,3
매화,난초,5
매화,연꽃,2
매화,백합,1
매화,작약,1
매화,제비,2
매화,꽃,3
매화,까치,2
매화,석류,2
매화,다람쥐,1
매화,포도,2
매화,달,4
매화,대나무,5
매화,소나무,2
매화,물결,1
매화,학,4
매화,참새,5
매화,불로초,2
매화,게,1
매화,사슴,2
매화,독서,1
매화,배,2
매화,매화서옥,5
매화,메뚜기,1
매화,동자,2
매화,소,1
매화,기우,1
매화,모란,2
매화,무궁화,1
매화,나비,1
매화,붓꽃,1
매화,장미,1
매화,가지,1
매화,배꽃,1
매화,신선,2
매화,거위,1
매화,겨울,1
매화,바위,1
매화,괴석,4
매화,국화,4
매화,원숭이,1
매화,고양이,1
매화,말,1
매화,개,2
매화,복숭아,1
매화,백로,1
매화,물짐승,1
매화,낚시,1
신선,용,2
신선,악기,6
신선,학,1
신선,대나무,2
신선,소나무,7
신선,폭포,2
신선,말,1
신선,배,1
신선,동자,9
신선,사슴,3
신선,염소,2
신선,인물,1
신선,달,2
신선,소,2
신선,기우,1
신선,복숭아,1
신선,물결,5
신선,당나귀,1
신선,구름,4
신선,두꺼비,1
신선,놀이,2
신선,박쥐,2
신선,뱀,1
신선,귀신,1
신선,괴석,3
신선,게,1
신선,개구리,1
신선,나비,1
신선,메뚜기,1
신선,국화,1
신선,무,1
신선,매화,2
신선,거위,1
신선,파초,2
신선,물짐승,1
신선,낚시,1
신선,곤충,1
배,물고기,1
배,물새,2
배,노동,1
배,소,2
배,말,3
배,학,3
배,대나무,2
배,소나무,11
배,신선,1
배,폭포,8
배,악기,2
배,버드나무,8
배,매화,2
배,독서,1
배,매화서옥,1
배,복숭아나무,1
배,달,3
배,봄,1
배,당나귀,4
배,기려,3
배,기마,1
배,낚시,1
배,물결,2
배,괴석,1
배,여름,1
배,바위,2
버드나무,소나무,10
버드나무,괴석,3
버드나무,구름,1
버드나무,벼,1
버드나무,개,5
버드나무,고양이,2
버드나무,난초,1
버드나무,농사,3
버드나무,소,5
버드나무,기우,2
버드나무,제비,2
버드나무,닭,3
버드나무,노동,2
버드나무,당나귀,6
버드나무,배,8
버드나무,봄,1
버드나무,낚시,1
버드나무,용,1
버드나무,놀이,1
버드나무,해,1
버드나무,폭포,5
버드나무,말,7
버드나무,기마,3
버드나무,기려,3
버드나무,여름,2
버드나무,대나무,1
버드나무,달,3
버드나무,파초,2
버드나무,학,1
버드나무,새,2
버드나무,국화,1
버드나무,수국,1
버드나무,사슴,1
버드나무,연꽃,1
버드나무,오리,1
버드나무,꽃,2
버드나무,갈대,1
버드나무,나비,1
버드나무,참새,1
버드나무,매미,1
버드나무,바위,1
대나무,학,5
대나무,소나무,6
대나무,신선,2
대나무,폭포,1
대나무,말,1
대나무,배,2
대나무,악기,5
대나무,괴석,6
대나무,사슴,2
대나무,구름,1
대나무,서예,1
대나무,난초,6
대나무,모란,2
대나무,까치,2
대나무,석류,2
대나무,다람쥐,1
대나무,포도,2
대나무,달,3
대나무,매화,5
대나무,물결,1
대나무,참새,3
대나무,불로초,2
대나무,게,1
대나무,동자,1
대나무,놀이,1
대나무,개,1
대나무,오리,1
대나무,갈대,1
대나무,매,1
대나무,국화,4
대나무,연꽃,2
대나무,단풍나무,1
대나무,고슴도치,1
대나무,나비,1
대나무,새,2
대나무,꽃,2
대나무,당나귀,1
대나무,겨울,1
대나무,버드나무,1
대나무,독서,2
새,소나무,3
새,괴석,5
새,꽃,14
새,매화,6
새,폭포,2
새,매,3
새,백로,2
새,오리,5
새,학,3
새,해,1
새,국화,5
새,단풍나무,1
새,난초,4
새,연꽃,4
새,백합,1
새,작약,1
새,제비,3
새,고슴도치,1
새,나비,2
새,대나무,2
새,당나귀,1
새,모란,3
새,목련,1
새,잠자리,1
새,물고기,2
새,사슴,4
새,게,2
새,까치,3
새,닭,2
새,원숭이,2
새,복숭아,2
새,개,5
새,고양이,3
새,까마귀,1
새,곤충,2
새,기러기,1
새,꿩,1
새,개구리,1
새,병아리,1
새,열매,1
새,낚시,1
새,참새,1
새,말,3
새,달,2
새,파초,1
새,수국,1
새,버드나무,2
새,갈대,1
새,포도,1
새,석류,1
새,소,1
새,매미,1
새,바위,1
새,농사,1
새,여름,1
꽃,괴석,5
꽃,새,14
꽃,해,1
꽃,오리,4
꽃,국화,6
꽃,단풍나무,1
꽃,난초,5
꽃,매화,3
꽃,연꽃,5
꽃,백합,1
꽃,작약,1
꽃,제비,3
꽃,잠자리,1
꽃,곤충,4
꽃,고슴도치,1
꽃,나비,6
꽃,대나무,2
꽃,당나귀,1
꽃,폭포,1
꽃,까치,4
꽃,매미,1
꽃,모란,4
꽃,등나무,1
꽃,무궁화,1
꽃,붓꽃,1
꽃,장미,1
꽃,가지,2
꽃,배꽃,1
꽃,게,3
꽃,채소,1
꽃,인삼,1
꽃,연과,1
꽃,무,1
꽃,조개,1
꽃,과일,1
꽃,닭,4
꽃,사슴,3
꽃,매,2
꽃,원숭이,1
꽃,복숭아,1
꽃,개,3
꽃,고양이,2
꽃,까마귀,1
꽃,기러기,1
꽃,꿩,1
꽃,물고기,1
꽃,개구리,1
꽃,병아리,1
꽃,열매,1
꽃,파초,2
꽃,학,2
꽃,소나무,2
꽃,수국,1
꽃,달,2
꽃,말,2
꽃,버드나무,2
꽃,갈대,1
꽃,포도,2
꽃,석류,1
꽃,참새,1
꽃,다람쥐,1
난초,버드나무,1
난초,소나무,4
난초,괴석,6
난초,구름,1
난초,벼,1
난초,개,2
난초,고양이,1
난초,농사,1
난초,새,4
난초,꽃,5
난초,매화,5
난초,연꽃,4
난초,백합,1
난초,작약,1
난초,제비,1
난초,대나무,6
난초,학,2
난초,참새,1
난초,오리,1
난초,갈대,1
난초,달,1
난초,매,1
난초,국화,6
난초,단풍나무,1
난초,고슴도치,1
난초,나비,3
난초,당나귀,1
난초,말,1
난초,소,1
난초,기우,1
난초,게,1
난초,채소,1
난초,인삼,1
난초,연과,1
난초,가지,1
난초,무,1
난초,조개,1
난초,과일,1
난초,불로초,1
난초,포도,1
난초,모란,1
난초,석류,1
난초,까치,1
달,괴석,7
달,학,5
달,말,5
달,소,2
달,기마,2
달,신선,2
달,동자,2
달,사슴,4
달,염소,1
달,인물,1
달,악기,2
달,참새,5
달,가을,1
달,독서,2
달,까치,1
달,석류,1
달,다람쥐,1
달,포도,1
달,대나무,3
달,매화,4
달,소나무,5
달,물결,2
달,불로초,1
달,게,1
달,기러기,4
달,갈대,6
달,배,3
달,개,6
달,난초,1
달,오리,3
달,매,2
달,국화,3
달,연꽃,2
달,단풍나무,1
달,폭포,1
달,기우,1
달,구름,1
달,버드나무,3
달,바위,1
달,해,1
달,서예,1
달,새,2
달,원숭이,1
달,고양이,2
달,복숭아,1
달,제비,2
달,백로,1
달,닭,2
달,파초,2
달,수국,1
달,꽃,2
달,나비,1
말,소,9
말,닭,3
말,기마,14
말,기우,4
말,배,3
말,달,5
말,학,4
말,대나무,1
말,소나무,6
말,신선,1
말,폭포,1
말,악기,1
말,매,1
말,기러기,2
말,노동,2
말,당나귀,2
말,까치,1
말,농사,2
말,호랑이,1
말,사슴,3
말,괴석,5
말,버드나무,7
말,사냥,1
말,난초,1
말,오리,2
말,해,1
말,서예,1
말,새,3
말,참새,2
말,국화,2
말,원숭이,1
말,고양이,2
말,매화,1
말,개,5
말,복숭아,1
말,제비,2
말,백로,1
말,파초,2
말,수국,1
말,연꽃,1
말,꽃,2
말,갈대,1
