artwork_type,pattern,frequency
경직도,버드나무,1
경직도,소나무,1
경직도,괴석,1
경직도,구름,1
경직도,벼,1
경직도,개,1
경직도,고양이,1
경직도,난초,1
경직도,농사,1
고사인물화,괴석,7
고사인물화,매화,6
고사인물화,폭포,5
고사인물화,달,5
고사인물화,소나무,5
고사인물화,겨울,5
고사인물화,대나무,4
고사인물화,매화서옥,4
고사인물화,학,3
고사인물화,악기,3
고사인물화,서예,3
고사인물화,말,3
고사인물화,기려,3
고사인물화,용,2
고사인물화,사슴,2
고사인물화,동자,2
고사인물화,기마,2
고사인물화,배,2
고사인물화,소,2
고사인물화,해,2
고사인물화,당나귀,2
고사인물화,독서,2
고사인물화,신선,1
고사인물화,구름,1
고사인물화,닭,1
고사인물화,복숭아나무,1
고사인물화,기우,1
고사인물화,호랑이,1
고사인물화,오리,1
고사인물화,매미,1
고사인물화,개,1
고사인물화,버드나무,1
고사인물화,새,1
고사인물화,바위,1
고사인물화,농사,1
고사인물화,여름,1
괴석도,괴석,15
괴석도,꽃,3
괴석도,난초,3
괴석도,모란,3
괴석도,새,2
괴석도,대나무,2
괴석도,연꽃,2
괴석도,나비,2
괴석도,소나무,2
괴석도,국화,2
괴석도,잠자리,1
괴석도,곤충,1
괴석도,말,1
괴석도,소,1
괴석도,기우,1
괴석도,신선,1
괴석도,메뚜기,1
괴석도,구름,1
괴석도,무,1
괴석도,매,1
괴석도,폭포,1
괴석도,토끼,1
괴석도,물결,1
괴석도,포도,1
괴석도,매화,1
괴석도,학,1
괴석도,석류,1
괴석도,까치,1
기명절지화,국화,4
기명절지화,무,4
기명절지화,밤,3
기명절지화,가지,2
기명절지화,모란,2
기명절지화,석류,1
기명절지화,난초,1
기명절지화,게,1
기명절지화,채소,1
기명절지화,인삼,1
기명절지화,연과,1
기명절지화,연꽃,1
기명절지화,괴석,1
기명절지화,조개,1
기명절지화,꽃,1
기명절지화,과일,1
기명절지화,소나무,1
기명절지화,배추,1
기명절지화,열매,1
노송도,소나무,5
노송도,대나무,1
노송도,모란,1
노송도,불로초,1
도석인물화,신선,31
도석인물화,소나무,13
도석인물화,동자,11
도석인물화,악기,8
도석인물화,,5
도석인물화,물결,5
도석인물화,폭포,4
도석인물화,달,4
도석인물화,구름,4
도석인물화,괴석,4
도석인물화,대나무,3
도석인물화,말,3
도석인물화,사슴,3
도석인물화,염소,3
도석인물화,소,3
도석인물화,승려,3
도석인물화,파초,3
도석인물화,당나귀,2
도석인물화,불로초,2
도석인물화,기우,2
도석인물화,놀이,2
도석인물화,거위,2
도석인물화,박쥐,2
도석인물화,나비,2
도석인물화,원숭이,2
도석인물화,매화,2
도석인물화,학,1
도석인물화,배,1
도석인물화,인물,1
도석인물화,복숭아,1
도석인물화,까치,1
도석인물화,두꺼비,1
도석인물화,독서,1
도석인물화,연꽃,1
도석인물화,서예,1
도석인물화,뱀,1
도석인물화,귀신,1
도석인물화,난초,1
도석인물화,게,1
도석인물화,개구리,1
도석인물화,용,1
도석인물화,메뚜기,1
도석인물화,국화,1
도석인물화,무,1
도석인물화,꽃,1
도석인물화,닭,1
도석인물화,제비,1
도석인물화,개,1
도석인물화,버드나무,1
도석인물화,참새,1
도석인물화,물짐승,1
도석인물화,낚시,1
도석인물화,곤충,1
도석인물화,새,1
모란도,모란,12
모란도,나비,4
모란도,꽃,4
모란도,괴석,3
모란도,소나무,2
모란도,대나무,2
모란도,매화,2
모란도,국화,2
모란도,새,2
모란도,매미,1
모란도,등나무,1
모란도,무궁화,1
모란도,붓꽃,1
모란도,장미,1
모란도,가지,1
모란도,배꽃,1
모란도,고양이,1
모란도,목련,1
모란도,포도,1
모란도,난초,1
모란도,학,1
모란도,석류,1
모란도,까치,1
모란도,연꽃,1
사군자화,난초,21
사군자화,대나무,18
사군자화,매화,14
사군자화,괴석,6
사군자화,국화,5
사군자화,소나무,4
사군자화,나비,3
사군자화,모란,2
사군자화,까치,2
사군자화,석류,2
사군자화,포도,2
사군자화,학,2
사군자화,불로초,2
사군자화,새,2
사군자화,꽃,2
사군자화,다람쥐,1
사군자화,달,1
사군자화,물결,1
사군자화,참새,1
사군자화,게,1
사군자화,사슴,1
사군자화,고슴도치,1
사군자화,당나귀,1
사군자화,말,1
사군자화,소,1
사군자화,기우,1
사군자화,신선,1
사군자화,메뚜기,1
사군자화,구름,1
사군자화,무,1
사군자화,연꽃,1
산수인물화,소나무,29
산수인물화,배,17
산수인물화,,17
산수인물화,버드나무,14
산수인물화,폭포,12
산수인물화,말,9
산수인물화,당나귀,8
산수인물화,괴석,8
산수인물화,기려,7
산수인물화,학,7
산수인물화,달,7
산수인물화,기마,6
산수인물화,소,5
산수인물화,낚시,5
산수인물화,독서,4
산수인물화,매화,4
산수인물화,가을,4
산수인물화,꽃,4
산수인물화,바위,4
산수인물화,물결,3
산수인물화,대나무,3
산수인물화,난초,3
산수인물화,개,3
산수인물화,물새,2
산수인물화,사슴,2
산수인물화,여름,2
산수인물화,나비,2
산수인물화,새,2
산수인물화,봄,2
산수인물화,악기,2
산수인물화,겨울,2
산수인물화,매화서옥,2
산수인물화,호랑이,1
산수인물화,신선,1
산수인물화,복숭아나무,1
산수인물화,고슴도치,1
산수인물화,동자,1
산수인물화,사냥,1
산수인물화,기우,1
산수인물화,포도,1
산수인물화,모란,1
산수인물화,석류,1
산수인물화,까치,1
산수인물화,연꽃,1
산수인물화,국화,1
산수인물화,파초,1
산수인물화,닭,1
산수인물화,제비,1
산수인물화,참새,1
산수인물화,서예,1
산수인물화,놀이,1
산수화,,48
산수화,소나무,24
산수화,폭포,16
산수화,배,11
